web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771780980-72","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots bichons","200 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2443734_uploaded_image1_1594839124.jpg"
"1771780980-73","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots malinois","250 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2441977_uploaded_image1_1594815579.jpg"
"1771780980-74","https://sn.coinafrique.com/categorie/chiens?page=10","Malinois pur sang","250 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2425090_uploaded_image1_1594426421.jpg"
"1771780980-75","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Caniche","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2417666_uploaded_image2_1594290464.jpeg"
"1771780980-76","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2374457_uploaded_image1_1593588468.jpg"
"1771780980-77","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot yorkie","300 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2373725_uploaded_image1_1593562231.jpg"
"1771780980-78","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2354463_uploaded_image1_1593244171.jpg"
"1771780980-79","https://sn.coinafrique.com/categorie/chiens?page=10","Chien berger malinois","150 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2331869_uploaded_image1_1592905487.jpg"
"1771780980-80","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Bichons","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2324363_uploaded_image1_1592781561.jpg"
"1771780980-81","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche","240 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2308946_uploaded_image1_1592507915.jpg"
"1771780980-82","https://sn.coinafrique.com/categorie/chiens?page=10","Berger Allemand femelle","250 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2300480_uploaded_image1_1592400668.jpg"
"1771780980-83","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Rottweiler","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2299686_uploaded_image1_1592393679.jpg"
"1771780980-84","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Berger","160 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2277897_uploaded_image1_1592046957.jpg"
"1771780980-85","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Berger blanc","170 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2250259_uploaded_image1_1591646066.jpg"
"1771780980-86","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots berger belge malinois","150 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2244294_uploaded_image1_1591560490.jpg"
"1771780980-87","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots berger allemand","175 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2230488_uploaded_image1_1591320628.jpg"
"1771780980-88","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand pur sang","150 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2217470_uploaded_image1_1591135735.jpg"
"1771780980-89","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand pure sang","150 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2217466_uploaded_image1_1591135619.jpg"
"1771780980-90","https://sn.coinafrique.com/categorie/chiens?page=10","Berger blanc suisse","150 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_2211811_uploaded_image1_1591059036.jpg"
"1771780980-91","https://sn.coinafrique.com/categorie/chiens?page=10","Chien","65 000CFA","Gibraltar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2209275_uploaded_image1_1591023390.jpg"
"1771780980-92","https://sn.coinafrique.com/categorie/chiens?page=10","Bichons","350 000CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_2181152_uploaded_image1_1590585289.jpg"
"1771780980-93","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155097_uploaded_image1_1590127308.jpg"
"1771780980-94","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Yorkie_Chon","300 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2151616_uploaded_image1_1592169330.jpg"
"1771780980-95","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Rottweiler","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2151223_uploaded_image1_1590064972.jpg"
"1771780980-96","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots rockweile","290 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2119461_uploaded_image1_1589565559.jpg"
"1771780980-97","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Yorkshire/caniche","200 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2107633_uploaded_image1_1589392557.jpg"
"1771780980-98","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Berger Amstaff","130 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2082208_uploaded_image1_1588983812.jpg"
"1771780980-99","https://sn.coinafrique.com/categorie/chiens?page=10","Berger malinois charboné","300 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2063869_uploaded_image1_1588722042.jpg"
"1771780980-100","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Can Corso","300 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2062566_uploaded_image1_1588702172.jpg"
"1771780980-101","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Berger Allemand","250 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2062558_uploaded_image1_1588702072.jpg"
"1771780980-102","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Chowchow","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2047517_uploaded_image1_1588470753.jpg"
"1771780980-103","https://sn.coinafrique.com/categorie/chiens?page=10","Femelles  métisse rock / 4 chiennes","50 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1984265_uploaded_image1_1587479748.47.jpeg"
"1771780980-104","https://sn.coinafrique.com/categorie/chiens?page=10","CHiots Pitbull","90 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1959031_uploaded_image1_1587075773.91.jpeg"
"1771780980-105","https://sn.coinafrique.com/categorie/chiens?page=10","Chien","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1940073_uploaded_image1_1586802159.93.png"
"1771780980-106","https://sn.coinafrique.com/categorie/chiens?page=10","Chien","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1940062_uploaded_image1_1586802060.81.png"
"1771780980-107","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Labrador","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935397_uploaded_image1_1586726397.65.png"
"1771780980-108","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot boxer","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935386_uploaded_image1_1586726128.5.png"
"1771780980-109","https://sn.coinafrique.com/categorie/chiens?page=10","Chiens Malinois","300 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1904735_uploaded_image1_1586214527.85.png"
"1771780980-110","https://sn.coinafrique.com/categorie/chiens?page=10","Métisse chiots rottweiler","50 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890049_uploaded_image1_1585932795.82.png"
"1771780980-111","https://sn.coinafrique.com/categorie/chiens?page=10","Labrador","200 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1869479_uploaded_image1_1585587706.8.png"
"1771780980-112","https://sn.coinafrique.com/categorie/chiens?page=10","Bulldog anglais","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862159_uploaded_image1_1585460332.93.png"
"1771780980-113","https://sn.coinafrique.com/categorie/chiens?page=10","Femelle dogue de Bordeaux","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862155_uploaded_image1_1585460203.94.png"
"1771780980-114","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Dogue allemand","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862148_uploaded_image1_1585459981.26.png"
"1771780980-115","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots pékinois pure race","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862142_uploaded_image1_1585459853.32.png"
"1771780980-116","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Shiba inu","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862112_uploaded_image1_1585456241.69.png"
"1771780980-117","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Spitz nain pomeranian","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1862107_uploaded_image1_1585455904.62.png"
"1771780980-118","https://sn.coinafrique.com/categorie/chiens?page=10","Caniches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1840583_uploaded_image1_1585048857.01.png"
"1771780980-119","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Dogue Allemand","Prix sur demande","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1840570_uploaded_image2_1585048708.25.png"
"1771780980-120","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman pure souche","350 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1803179_uploaded_image1_1584379219.84.png"
"1771780980-121","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Bichon","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_1733519_uploaded_image2_1583168047.85.png"
"1771780980-122","https://sn.coinafrique.com/categorie/chiens?page=10","Cani corso","600 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1716117_uploaded_image1_1582837304.5.png"
"1771780980-123","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot berger belge malinois","175 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_1628361_uploaded_image1_1581360490.25.png"
"1771780980-124","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1621541_uploaded_image1_1581266142.61.png"
"1771780984-125","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Bichon","200 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3076436_uploaded_image1_1619191470.jpg"
"1771780984-126","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot berger allemand mâle","150 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_3064744_uploaded_image1_1618661657.jpg"
"1771780984-127","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Boerboel","450 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3057395_uploaded_image1_1618335212.jpg"
"1771780984-128","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot femelle Yorkshire","400 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3045523_uploaded_image1_1617806957.jpg"
"1771780984-129","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Bergers Allemands","150 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3035100_uploaded_image3_1617361106.jpeg"
"1771780984-130","https://sn.coinafrique.com/categorie/chiens?page=9","Chiot Husky","450 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3032898_uploaded_image1_1617282596.jpg"
